Rooms;Living_Space;Price;Address;Building_type;Location;possible_collocation;Transport_Index;Population
6;217;5300;1095 La Croix (Lutry);House;Lutry;yes;1,25;10796
5;140;5500;1009 Pully;House;Pully;yes;1,25;19298
6;160;8000;1093 La Conversion;House;Lutry;yes;1,25;10796
1,5;35;1030;1022 Chavannes-prŠs-Renens;Apartment;Renens;no;1,5;21466
4,5;98;2931;Av. des Cerisiers 2, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
4,5;129;3150;Chemin de Belle Vue 12, 1020 Renens;Apartment;Renens;yes;1,5;21466
1;19;1205;Avenue du Temple 1-3, 1020 Renens VD;Studio;Renens;no;1,5;21466
2;55;1585;Route de Cossonay 1Bis, 1008 Prilly;Apartment;Prilly;no;1,5;12439
3;82;2225;Chemin de Mochettaz 12b, 1030 Bussigny-Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;75;2260;Rue du Chine 42, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
2,5;53;1730;Rue du Centre 7, 1030 Bussigny-Lausanne;Apartment;Lausanne;yes;1,5;144365
3;98;7999;Sur la Croix 84, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
2;48;1702;Chemin de Corjon 2, 1020 Renens;Apartment;Renens;no;1,5;21466
2;36;1095;Ch. de Veilloud 11, 1024 Ecublens;Apartment;Ecublens;no;1,5;13334
2;46;1190;Rue de Crissier 10, 1020 Renens;Apartment;Renens;no;1,5;21466
3,5;64;2575;Avenue du Temple 1-3, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
5,5;125;3480;Rue de Lausanne 52 B, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
4,5;93;2580;Place de la ClairiŠre 11, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
5,5;141;3420;Chemin de la Mochettaz 10, 1030 Bussigny-prŠs-Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;105;2795;Chemin de la Savonnerie 4, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
4,5;102;2630;Rue des Haies-Vives 5, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
3,5;79;1940;Rue de Lausanne 21, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
5,5;120;3210;Place de la ClairiŠre 11, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
1;19;1170;Avenue du Temple 1-3, 1020 Renens VD;Studio;Renens;no;1,5;21466
1;16;1095;Avenue du Temple 1-3, 1020 Renens VD;Studio;Renens;no;1,5;21466
4,5;153;4650;Rue du Centre 39, 1025 Saint-Sulpice;Apartment;Saint-Sulpice;yes;1,25;5138
4,5;98;2545;Chemin de la Mochettaz 10, 1030 Bussigny-prŠs-Lausanne;Apartment;Lausanne;yes;1,5;144365
3;74;1950;Avenue de Jolimont 7, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
3,5;68;2020;Rue de Cossonay 192Bis, 1020 Renens;Apartment;Renens;yes;1,5;21466
3,5;76;2499;All‚e des CŠdres 4, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
4,5;85;2380;Avenue de Censuy 24, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
4,5;100;27780;Rue de la Mouline 4, 1022 Chavannes-Renens;Apartment;Renens;yes;1,5;21466
3,5;96;2470;Chemin du Croset 10, 1024 Ecublens;Apartment;Ecublens;yes;1,5;13334
3,5;93;2450;Ch. du Croset 11, 1024 Ecublens VD;Apartment;Ecublens;yes;1,5;13334
3,5;93;2450;Ch. du Croset 11, 1024 Ecublens VD;Apartment;Ecublens;yes;1,5;13334
4;78;2140;Avenue du Tir-F‚d‚ral 81, 1022 Chavannes-Renens;Apartment;Renens;yes;1,5;21466
3,5;81;2130;Avenue de Flor‚al 34, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
2,5;62;1630;Avenue du Chablais 43, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
3,5;76;2414;All‚e des CŠdres 7, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
3,5;79;2350;Route du Bois 59, 1024 Ecublens VD;Apartment;Ecublens;yes;1,5;13334
4;106;2956;Chemin des Jonchets 3, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
3,5;85;2690;Rue de Ley Outre 6, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
5,5;139;2780;Avenue du Chƒteau 5, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
3,5;87;2350;Chavannes-R. Dorigny, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
3,5;112;2770;Route de la Plaine 6, 1022 Chavannes-Renens;Apartment;Renens;yes;1,5;21466
3,5;92;2510;Chemin de la Chi‚saz 7, 1024 Ecublens (VD);Apartment;Ecublens;yes;1,5;13334
3,5;85;2415;Route Cantonale 61, 1025 Saint-Sulpice;Apartment;Saint-Sulpice;yes;1,25;5138
4,5;112;2780;Chemin des Jonchets 1, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
3,5;74;1720;Avenue de la Piscine 8, 1020 Renens;Apartment;Renens;yes;1,5;21466
4,5;106;2670;Chemin de la Mochettaz 4, 1030 Bussigny-prŠs-Lausanne;Apartment;Lausanne;yes;1,5;144365
3;65;1755;Chemin de Bourg-Dessus 12, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
3;77;2214;Chemin des Jonchets 6, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
2,5;56;1580;Avenue du Chablais 43, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
3,5;82;2605;Route de Cossonay 57, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
2;45;1325;Ch. du Vieux-CollŠge 14, 1008 Prilly;Apartment;Prilly;no;1,5;12439
2,5;43;1500;Avenue de Longemalle 7, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
3;70;2210;Chemin des C“tes 3, 1020 Renens;Apartment;Renens;yes;1,5;21466
2,5;63;1830;Chemin du Croset 8, 1024 Ecublens;Apartment;Ecublens;yes;1,5;13334
1;65;1870;Bochet 22, 1024 Ecublens (VD);Studio;Ecublens;no;1,5;13334
2,5;64;1750;Chemin du Croset 6, 1024 Ecublens;Apartment;Ecublens;yes;1,5;13334
3,5;90;2355;Chemin de Cocagne 57, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
3,5;79;2225;Chemin des Jonchets 16, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
3,5;85;2640;Avenue de la Gare 73, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
3,5;74;2720;En Baumettaz 6, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
4,5;115;2950;Route de Neuchƒtel 26, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
1,5;12;1390;Rue des M‚tiers, 1008 Prilly;Apartment;Prilly;no;1,5;12439
1,5;23;1550;Place de la Bourse aux Fleurs, 1022 Chavannes-prŠs-Renens;Apartment;Renens;no;1,5;21466
1;20;1290;Chemin des Sous-Bois, 1023 Crissier;Studio;Crissier;no;1,5;9327
4,5;115;2760;Ch. du Croset 11, 1024 Ecublens VD;Apartment;Ecublens;yes;1,5;13334
1;43;2875;Route de Vallaire 2, 1025 Saint-Sulpice;Studio;Saint-Sulpice;no;1,25;5138
2,5;46;1510;Chemin des P‚pini‚res 5, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
1;21;1050;Av. de la Rochelle 2, 1008 Prilly;Studio;Prilly;no;1,5;12439
4,5;93;2820;chemin du Belv‚dŠre 12, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
1;27;1350;Rte de Cossonay 25 (Flor‚al 4), 1008 Prilly;Studio;Prilly;no;1,5;12439
3;68;1820;Rue de la Blancherie 18, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
4,5;87;2605;Chemin en Craux 20, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
3,5;69;2140;Chemin en Craux 20, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
2,5;54;1755;Chemin en Craux 20, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
1;39;1630;Avenue de la Vallombreuse 55, 1008 Prilly;Studio;Prilly;no;1,5;12439
3,5;89;2760;Chemin du Russel 3 B, 1025 St-Sulpice;Apartment;Saint-Sulpice;yes;1,25;5138
3,5;74;2020;Chemin de Broye 24, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
2;73;2080;Rue des Alpes 59, 1023 Crissier;Apartment;Crissier;no;1,5;9327
3,5;72;2600;Chemin de Tout-Vent 1, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
2,5;51;1632;Rue de l'Industrie 23, 1030 Bussigny-prŠs-Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;135;3450;Route du Mont 1, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
1;21;1410;Chemin de la Forit 14, 1024 Ecublens;Studio;Ecublens;no;1,5;13334
2,5;58;2004;Route de Cossonay 55, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
3,5;74;2570;En Baumettaz 6, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
3,5;70;1910;Ch. de la Grand-Vigne 8, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
2,5;71;2260;Chemin du Parc 3a, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
3,5;94;2300;Chemin de l'Union 7, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
3,5;87;3160;Avenue de la Gare 55 C, 1022 Chavannes-Renens;Apartment;Renens;yes;1,5;21466
1;15;1743;Route de Vallaire 2, 1025 Saint-Sulpice;Studio;Saint-Sulpice;no;1,25;5138
2,5;54;1410;Rue du Simplon 32A, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
5,5;84;2030;Rue du Simplon 32D, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
3,5;76;1820;Rue du Simplon 32C, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
2,5;64;1667;Avenue du Censuy 14, 1020 Renens;Apartment;Renens;yes;1,5;21466
4,5;94;2600;All‚e des CŠdres 14, 1022 Chavannes-Renens;Apartment;Renens;yes;1,5;21466
3,5;78;2235;Chemin de Champ-Colomb 5B, 1024 Ecublens VD;Apartment;Ecublens;yes;1,5;13334
1;20;1025;Chemin de la Colline 20, 1023 Crissier;Studio;Crissier;no;1,5;9327
1;19;1025;Chemin de la Colline 20, 1023 Crissier;Studio;Crissier;no;1,5;9327
1;21;960;Av. Rochelle 20, 1008 Prilly;Studio;Prilly;no;1,5;12439
1,5;37;1205;Av. Rochelle 16, 1008 Prilly;Apartment;Prilly;no;1,5;12439
2,5;60;1715;Chemin du Croset 10, 1024 Ecublens;Apartment;Ecublens;yes;1,5;13334
3,5;67;1770;Av. de la Rochelle 8, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
2,5;57;1510;Av. Rochelle 22, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
1;21;1500;Chemin de la Forit 14, 1024 Ecublens;Studio;Ecublens;no;1,5;13334
1,5;37;1265;Av. Rochelle 18, 1008 Prilly;Apartment;Prilly;no;1,5;12439
3,5;72;1790;Av. Rochelle 16, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
1;24;1065;Av. de la Rochelle 8, 1008 Prilly;Studio;Prilly;no;1,5;12439
3,5;83;2500;Avenue de la Gare 63B, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
2,5;55;2000;Route de Cossonay 96, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
4,5;121;3000;Chemin du Vieux-CollŠge 7, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
2;44;3900;1025 St-Sulpice VD;Apartment;Saint-Sulpice;no;1,25;5138
1,5;24;2350;1025 St-Sulpice VD;Apartment;Saint-Sulpice;no;1,25;5138
2,5;46;3500;1025 St-Sulpice VD;Apartment;Saint-Sulpice;yes;1,25;5138
2,5;55;2000;Route de Cossonay 96, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
3,5;93;2390;Ch. du Croset 11, 1024 Ecublens VD;Apartment;Ecublens;yes;1,5;13334
3,5;53;1960;Chemin de Rionza 21, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
3,5;83;2650;Avenue de la Gare 55 D, 1022 Chavannes-Renens;Apartment;Renens;yes;1,5;21466
3,5;74;2640;Route de Vallaire 8, 1025 Saint-Sulpice;Apartment;Saint-Sulpice;yes;1,25;5138
4,5;130;3150;1020 Renens;Apartment;Renens;yes;1,5;21466
4,5;93;2650;1023 Crissier;Apartment;Crissier;yes;1,5;9327
3,5;79;1800;Avenue du Censuy 14, 1020 Renens;Apartment;Renens;yes;1,5;21466
2,5;45;1790;1023 Crissier;Apartment;Crissier;yes;1,5;9327
3,5;116;3200;1008 Prilly;Apartment;Prilly;yes;1,5;12439
1;10;20;Route du Bois 47, 61, 1024 Ecublens VD;Studio;Ecublens;no;1,5;13334
3,5;69;1470;55, avenue de la Vallombreuse, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
6;150;3000;Ch. des Baumettes 36, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
3,5;59;1850;34-36 Route de l'Industrie, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
4,5;82;2140;34-36 Route de l'Industrie, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
1;10;990;Rue de Crissier, 1020 Renens VD;Studio;Renens;no;1,5;21466
4;89;3020;Rue de Verdeaux 10A, 1020 Renens;Apartment;Renens;yes;1,5;21466
3,5;74;2190;Chemin des Sous-Bois 5, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
1,5;24;1804;1025 St-Sulpice VD;Apartment;Saint-Sulpice;no;1,25;5138
2,5;60;2490;Rue du Centre, 1025 St-Sulpice VD;Apartment;Saint-Sulpice;yes;1,25;5138
5,5;133;2850;1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
3,5;100;1810;1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
2,5;69;1330;1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
2,5;47;1570;34-36 Route de l'Industrie, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
2,5;59;1510;Avenue de Longemalle 20, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
2,5;43;1965;Route de Neuchƒtel 18, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
1,5;20;1710;Route de Neuchƒtel 18, 1008 Prilly;Apartment;Prilly;no;1,5;12439
3,5;79;1850;Avenue de Longemalle 24, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
4,5;101;2790;Avenue Tir-F‚d‚ral, 1024 Ecublens VD;Apartment;Ecublens;yes;1,5;13334
5;144;3450;Rue du Centre 74, 1025 St-Sulpice VD;Apartment;Saint-Sulpice;yes;1,25;5138
3;74;1200;Rue de l'Industrie 6, 1020 Renens;Apartment;Renens;yes;1,5;21466
3;66;1835;Route de Marcolet 15A, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
3,5;73;1910;Avenue de la Concorde, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
3,5;73;1910;Avenue de la Concorde, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
3;55;1600;Avenue Flor‚al 11, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
2,5;62;2500;Rue du Centre 170, 1025 Saint-Sulpice;Apartment;Saint-Sulpice;yes;1,25;5138
2,5;53;1620;Chavannes-R. Dorigny, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
1,5;20;1910;Route de Neuchƒtel 18, 1008 Prilly;Apartment;Prilly;no;1,5;12439
3,5;77;2972;Chemin du Pƒqueret 6b, 1025 Saint-Sulpice;Apartment;Saint-Sulpice;yes;1,25;5138
3,5;79;2690;Route des Flumeaux 24, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
2;72;1250;Rue de l'Industrie 6, 1020 Renens;Apartment;Renens;no;1,5;21466
3;54;1640;Rue de l'Industrie 9, 1020 RENENS;Apartment;Renens;yes;1,5;21466
4;72;1900;Route du Chasseur 13, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
2,5;51;1624;Chemin des LentilliŠres 5B, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
3,5;73;1816;Chemin des LentilliŠres 5F, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
3,5;79;2570;Rte Cond‚mine, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
4,5;104;2800;Rue d'Yverdon 7 Crissier, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
1;85;995;Rue de la Baumettaz 6, 1023 Crissier;Studio;Crissier;no;1,5;9327
6;150;3250;route de cossonay 78, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
1;20;1160;Chemin du Grand-Record 5, 1030 Bussigny;Studio;Bussigny;no;1,25;10645
1;22;700;Route de Neuchƒtel 20, 1008 PRILLY;Studio;Prilly;no;1,5;12439
4,5;162;3540;Route du Mont 3, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
4,5;92;2600;Place des Berges 7, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
1;27;550;Rue de Lausanne 5 - Bussigny, 1030 Bussigny;Studio;Bussigny;no;1,25;10645
2;46;1490;Ch. de Ros‚az, 1030 Bussigny;Apartment;Bussigny;no;1,25;10645
1,5;53;1583;Avenue d'Epenex 4a, 1020 Renens VD;Apartment;Renens;no;1,5;21466
2,5;56;1035;Chemin du Centenaire 6, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
3,5;82;2190;Rue Saint-Germain, 2B, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
4,5;120;3320;rte de Vallaire, 4A, 1025 St-Sulpice VD;Apartment;Saint-Sulpice;yes;1,25;5138
1;15;900;rue du centre 2b, 1023 Crissier;Studio;Crissier;no;1,5;9327
2,5;48;1800;Chemin du bochet 20, 1024 Ecublens VD;Apartment;Ecublens;yes;1,5;13334
1;9;900;Chemin des Clos 1 CH, 1020 Renens VD;Studio;Renens;no;1,5;21466
1;130;1065;Chemim des C“tes 4, 1020 Renens VD;Studio;Renens;no;1,5;21466
3,5;84;2195;Route d'Eguechaudens 9, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
3,5;75;2435;En Coulaye 6, 1029 Villars-Ste-Croix;Apartment;Villars-Ste-Croix;yes;0,25;980
2;73;1835;Chemin de Mochettaz 10 - Bussigny, 1030 Bussigny;Apartment;Bussigny;no;1,25;10645
3,5;76;2499;All‚e des CŠdres 4, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
1;85;1095;Rue de la Baumettaz 6, 1023 Crissier;Studio;Crissier;no;1,5;9327
2,5;60;1901;Chemin de Corjon 11, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
3,5;90;1945;Route de la MaladiŠre 44, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
3,5;85;2200;Rue de la Baumettaz 6, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
4,5;129;3350;Chemin de belle vue 12, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
4,5;108;2552;Chemin des LentilliŠres 7c, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
4,5;123;3180;Route de la MaladiŠre 27, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
3,5;95;2450;1023 Crissier;Apartment;Crissier;yes;1,5;9327
1;10;975;Renens-Village, 1020 Renens VD;Studio;Renens;no;1,5;21466
1;120;1180;Champ-Perrin, 1030 Bussigny;Studio;Bussigny;no;1,25;10645
3,5;62;2020;Echandens, 1025 St-Sulpice VD;Apartment;Saint-Sulpice;yes;1,25;5138
2,5;65;1858;Bussigny, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
2;45;1348;Ch. du Vieux-CollŠge 20, 1008 PRILLY;Apartment;Prilly;no;1,5;12439
1;13;1000;Bussigny, 1030 Bussigny;Studio;Bussigny;no;1,25;10645
3,5;66;1886;Eglise Catholique, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
1,5;20;865;Le Sansy 8, 1029 Villars-Ste-Croix;Apartment;Villars-Ste-Croix;no;0,25;980
2;49;1560;Rue du Caudray, 1020 Renens VD;Apartment;Renens;no;1,5;21466
3,5;100;2200;Ecublens, 1024 Ecublens VD;Apartment;Ecublens;yes;1,5;13334
3,5;89;2760;St-Sulpice, 1025 St-Sulpice VD;Apartment;Saint-Sulpice;yes;1,25;5138
3,5;82;2100;Chemin de Praz, Crissier, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
3,5;58;1810;Avenue du 1Mai 14, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
4;90;1810;Rue de Lausanne 20, 1030 Bussigny-prŠs-Lausanne;Apartment;Lausanne;yes;1,5;144365
2,5;50;2123;Prilly, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
1,5;34;1750;Rte de la MaladiŠre 46, 1022 Chavannes-prŠs-Renens;Apartment;Renens;no;1,5;21466
3,5;80;1810;AVENUE D EPENEX 1B, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
4,5;127;2550;Chemin de la forit, 1024 Ecublens VD;Apartment;Ecublens;yes;1,5;13334
3,5;75;2200;Rue du Chine, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
1;650;13333;Rue de l'arc-en-ciel 12, 1030 Bussigny;Studio;Bussigny;no;1,25;10645
4,5;103;2734;Quartier Horizon, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
4,5;126;2790;Avenue du Censuy 7B, 1020 RENENS;Apartment;Renens;yes;1,5;21466
2,5;62;2500;Rue du centre 170 Saint Sulpice, 1025 St-Sulpice VD;Apartment;Saint-Sulpice;yes;1,25;5138
2,5;60;1689;Chemin du vieux CollŠge 7, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
3,5;90;2585;Ch.du Martinet 6A, 1020 Renens VD;Apartment;Renens;yes;1,5;21466
2,5;80;2269;Chemin de Villars, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
1;15;900;av de longemalle, 1020 Renens VD;Studio;Renens;no;1,5;21466
3,5;87;2325;Route de Chavannes, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
2;50;2090;Chemin des Creuses 30, 1008 Prilly;Apartment;Prilly;no;1,5;12439
1;16;850;Ecublens, 1024 Ecublens VD;Studio;Ecublens;no;1,5;13334
2,5;45;1790;1023 Crissier;Apartment;Crissier;yes;1,5;9327
2,5;60;1681;1020 Renens;Apartment;Renens;yes;1,5;21466
4;95;2739;Chemin des jonchets 5, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
1;15;880;Chavannes-pres-Renens, 1022 Chavannes-prŠs-Renens;Studio;Renens;no;1,5;21466
1;18;820;Renens, 1020 Renens VD;Studio;Renens;no;1,5;21466
3,5;130;3150;Prilly, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
1;14;1000;All‚e des CŠdres, 1022 Chavannes-prŠs-Renens;Studio;Renens;no;1,5;21466
1,5;26;800;Veilloud 14, 1024 Ecublens VD;Apartment;Ecublens;no;1,5;13334
4,5;100;2895;1020 Renens VD;Apartment;Renens;yes;1,5;21466
2;51;1360;1024 Ecublens VD;Apartment;Ecublens;no;1,5;13334
2,5;75;1780;1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
1;16;1200;1020 Renens VD;Studio;Renens;no;1,5;21466
3,5;81;2450;Eguechaudens, 1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
1;26;800;Chemin de Rionza 17, 1020 Renens VD;Studio;Renens;no;1,5;21466
4,5;94;2730;1029 Villars-Ste-Croix;Apartment;Villars-Ste-Croix;yes;0,25;980
2,5;52;1000;Prilly, 1008 Prilly;Apartment;Prilly;yes;1,5;12439
2,5;65;1770;LentilliŠres 1 c, 1023 Crissier;Apartment;Crissier;yes;1,5;9327
1;18;800;Prilly, 1008 Prilly;Studio;Prilly;no;1,5;12439
1;10;750;Chavannes-prŠs-Renens, 1022 Chavannes-prŠs-Renens;Studio;Renens;no;1,5;21466
2,5;75;2140;1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
2,5;61;1170;Rue de la Blancherie, 1022 Chavannes-prŠs-Renens;Apartment;Renens;yes;1,5;21466
3,5;67;1500;1024 Ecublens VD;Apartment;Ecublens;yes;1,5;13334
3;76;2122;1030 Bussigny;Apartment;Bussigny;yes;1,25;10645
10;550;12000;1029 Villars-Ste-Croix;House;Villars-Ste-Croix;no;0,25;980
6,5;180;4230;Au Ferrajoz 8, 1029 Villars-Ste-Croix;House;Villars-Ste-Croix;yes;0,25;980
6,5;180;4230;Au Ferrajoz 8, 1029 Villars-Ste-Croix;House;Villars-Ste-Croix;yes;0,25;980
6,5;180;4230;Au Ferrajoz 8, 1029 Villars-Ste-Croix;House;Villars-Ste-Croix;yes;0,25;980
4;160;4400;1023 Crissier;House;Crissier;yes;1,5;9327
2,5;70;2650;Saint-Sulpice, 1025 St-Sulpice VD;House;Saint-Sulpice;yes;1,25;5138
6;200;4300;Avenue du Chƒteau 86, 1008 Prilly;House;Prilly;yes;1,5;12439
